,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Soul,(2020),100 min,8.1,83        ,"150,476",-
1,Avengers: Endgame,(2019),181 min,8.4,78        ,"806,733",$858.37M
2,Another Round,(2020),117 min,7.8,81        ,"31,729",-
3,Sound of Metal,(2019),120 min,7.8,81        ,"25,102",-
4,The Gentlemen,(2019),113 min,7.8,51        ,"235,198",-
5,Parasite,(2019),132 min,8.6,96        ,"549,070",$53.37M
6,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,184,671",$116.90M
7,Knives Out,(2019),130 min,7.9,82        ,"451,346",$165.36M
8,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,339,918",$28.34M
9,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"549,136",$142.50M
10,The Trial of the Chicago 7,(2020),129 min,7.8,77        ,"87,763",-
11,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        ,"657,116",$317.58M
12,The Godfather,(1972),175 min,9.2,100        ,"1,618,259",$134.97M
13,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,659,601",$315.54M
14,1917,(2019),119 min,8.3,78        ,"423,443",$159.23M
15,The Dark Knight,(2008),152 min,9.0,84        ,"2,300,493",$534.86M
16,Interstellar,(2014),169 min,8.6,74        ,"1,509,735",$188.02M
17,Joker,(2019),122 min,8.5,59        ,"935,980",$335.45M
18,Goodfellas,(1990),146 min,8.7,90        ,"1,019,324",$46.84M
19,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,266,017",$120.54M
20,Pulp Fiction,(1994),154 min,8.9,94        ,"1,824,065",$107.93M
21,Avengers: Infinity War,(2018),149 min,8.4,68        ,"832,414",$678.82M
22,Forrest Gump,(1994),142 min,8.8,82        ,"1,806,712",$330.25M
23,The Intouchables,(2011),112 min,8.5,57        ,"758,946",$13.18M
24,Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"320,926",$70.14M
25,The Departed,(2006),151 min,8.5,85        ,"1,188,220",$132.38M
26,Catch Me If You Can,(2002),141 min,8.1,75        ,"831,045",$164.62M
27,Inception,(2010),148 min,8.8,74        ,"2,064,305",$292.58M
28,Jojo Rabbit,(2019),108 min,7.9,58        ,"296,320",$0.35M
29,Titanic,(1997),194 min,7.8,75        ,"1,044,815",$659.33M
30,Blade Runner 2049,(2017),164 min,8.0,81        ,"460,855",$92.05M
31,Hamilton,(2020),160 min,8.6,90        ,"54,681",-
32,The Matrix,(1999),136 min,8.7,73        ,"1,674,426",$171.48M
33,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"422,335",$102.52M
34,Thor: Ragnarok,(2017),130 min,7.9,74        ,"586,720",$315.06M
35,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"881,155",$154.06M
36,Gone Girl,(2014),149 min,8.1,79        ,"858,496",$167.77M
37,Call Me by Your Name,(2017),132 min,7.9,93        ,"212,002",$18.10M
38,Fight Club,(1999),139 min,8.8,66        ,"1,852,471",$37.03M
39,Little Women,(2019),135 min,7.8,91        ,"142,494",$108.10M
40,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,234,247",$216.54M
41,Prisoners,(2013),153 min,8.1,70        ,"600,175",$61.00M
42,Se7en,(1995),127 min,8.6,65        ,"1,443,120",$100.13M
43,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,042,511",$333.18M
44,The Lord of the Rings: The Return of the King,(2003),201 min,8.9,94        ,"1,641,026",$377.85M
45,Wind River,(2017),107 min,7.7,73        ,"204,857",$33.80M
46,Green Book,(2018),130 min,8.2,69        ,"376,125",$85.08M
47,Django Unchained,(2012),165 min,8.4,81        ,"1,355,821",$162.81M
48,Rogue One: A Star Wars Story,(2016),133 min,7.8,65        ,"555,872",$532.18M
49,Requiem for a Dream,(2000),102 min,8.3,68        ,"765,994",$3.64M
